Question,Category,Genre,Intensity,Safe for First Time?,Safe for Work?,Egyptian Translation (Ammiya)
"If you could have dinner with any historical figure, who would it be and what would you ask them?","Coworkers, First Date, First Time Meeting, Friends",What If...,Medium,Yes,Yes,لو قدرت تتعشى مع أي شخصية تاريخية، تختار مين وهتسأله إيه؟
What's your unpopular food opinion that you're willing to defend?,"First Time Meeting, Friends",Funny,Light,Yes,Yes,إيه رأيك الغريب في الأكل اللي مستعد تدافع عنه؟
What childhood memory has shaped who you are today?,"Family, Friends, Lovers",Deep,Bold,No,Yes,إيه أكتر ذكرى من طفولتك أثرت في شخصيتك وخليتك الشخص اللي أنت عليه النهاردة؟
"If I were a fruit, what would I be and why?","Coworkers, Family, First Date, Friends, Lovers",Funny,Light,Yes,Yes,لو أنا كنت فاكهة، تفتكر هكون إيه وليه؟
What's something you wish more people understood about you?,"Family, First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه الحاجة اللي نفسك الناس تفهمها عنك أكتر؟
"If I had a theme song play every time I walked into a room, what would it be?","Coworkers, First Time Meeting, Friends, Lovers",Funny,Light,Yes,Yes,لو ليا أغنية بتشتغل كل ما أدخل مكان، تفتكر هتكون إيه؟
What's one memory that shaped who you are today?,"Family, Friends, Lovers",Deep,Medium,No,Yes,إيه أكتر ذكرى شكلت شخصيتك؟
What's something I would totally go viral for?,"Coworkers, Friends, Lovers",Funny,Light,Yes,Yes,إيه الحاجة اللي لو عملتها ممكن أطلع بيها تريند؟
When do you feel most like yourself?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,إمتى بتحس إنك على طبيعتك بجد؟
What's a belief or value that you'll never compromise on?,"Coworkers, Family, Friends, Lovers",Deep,Medium,No,Yes,إيه المبدأ اللي عمرك ما هتتنازل عنه أبداً؟
Who in this group would survive a zombie apocalypse the longest—and who dies first?,"Coworkers, Family, Friends",Funny,Light,Yes,Yes,مين في القعدة دي ممكن يعيش أكتر لو حصل زومبي أبوكاليبس.. ومين أول واحد هيموت؟
What's the weirdest nickname you can come up with for me?,"Coworkers, Family, Friends, Lovers",Funny,Light,Yes,Yes,إيه أغرب اسم دلع ممكن تطلعه عليا؟
What's something you're currently struggling with but rarely talk about?,"Friends, Lovers",Deep,Bold,No,No,إيه الحاجة اللي بتعافر معاها الأيام دي بس مابتتكلمش عنها؟
"If you could change one thing about me, what would it be?","Friends, Lovers",Awkward,Bold,No,No,لو ممكن تغير فيا صفة واحدة، هتختار إيه؟
What if you had to pitch our friendship/relationship like a product — how would you describe it?,"Coworkers, Friends, Lovers",What If...,Light,No,Yes,لو هتعمل إعلان عن علاقتنا/صداقتنا زي المنتج، هتوصفها إزاي؟
What if we swapped lives for a week — what would shock you the most?,"Family, First Date, Friends, Lovers",What If...,Light,Yes,Yes,لو بدلنا حياتنا لمدة أسبوع، إيه أكتر حاجة هتصدمك؟
What if we were in a movie — what roles would we each play?,"Coworkers, Family, First Time Meeting, Friends",What If...,Light,Yes,Yes,لو إحنا في فيلم، كل واحد فينا هيلعب دور إيه؟
What's the most embarrassing thing you've done that I don't know about?,"Friends, Lovers",Awkward,Bold,No,No,إيه أكتر موقف محرج عملته وأنا ماعرفش عنه حاجة؟
Have you ever pretended to agree with me just to avoid conflict?,"Friends, Lovers",Awkward,Bold,No,No,عمرك عملت نفسك موافقني في الرأي بس عشان تريح دماغك؟
What's something about me that annoys you but you've never said out loud?,"Family, Friends, Lovers",Awkward,Bold,No,No,إيه الحاجة اللي بتضايقك فيا بس عمرك ما قلتها؟
What's something you've lied about recently?,"Friends, Lovers",Honest,Bold,No,No,إيه الحاجة اللي كدبت فيها قريب؟
What if you had to relive one day of your life forever — which would you pick?,"Family, Friends, Lovers",What If...,Light,Yes,Yes,لو هتعيش يوم واحد من حياتك وتعيده للأبد، هتختار أنهي يوم؟
What if you had to describe me in 3 emojis only — which ones would you choose?,"Coworkers, First Time Meeting, Friends, Lovers",What If...,Light,Yes,Yes,لو هتوصفني بـ 3 إيموجي بس، هتختار إيه؟
The moment I knew I was falling for you was…,Lovers,Deep,Bold,No,Yes,اللحظة اللي عرفت فيها إني وقعت في حبك كانت...
What's a movie or show I probably love — even if I won't admit it?,"Friends, Lovers",Know me,Light,No,Yes,تفتكر إيه الفيلم أو المسلسل اللي بحبه سراً ومش عايز أعترف؟
"If we switched lives for a day, what do you think I'd struggle with most?","Family, Friends, Lovers",Know me,Light,No,Yes,لو بدلنا حياتنا ليوم، تفتكر إيه أكتر حاجة هتعب فيها؟
What's my go-to comfort food when I'm stressed?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الأكلة اللي بجري عليها لما بكون متضايق أو مضغوط؟
I hope you never stop…,Lovers,Deep,Bold,No,Yes,أتمنى إنك عمرك ما تبطل...
What's something I always say or do that makes me… me?,"Family, Friends, Lovers",Know me,Light,No,Yes,إيه الحاجة اللي دايما بقولها أو بعملها وبتميزني؟
What's one thing I'd never leave the house without?,"Friends, Lovers",Know me,Light,No,Yes,إيه الحاجة اللي مستحيل أنزل من البيت من غيرها؟
"If you lost me in a supermarket, where's the first place you'd look?","Family, Friends, Lovers",Know me,Light,No,Yes,لو تهت منك في السوبر ماركت، أول مكان هتدور عليا فيه فين؟
"If you saw a stranger flirting with me, how would you react?",Lovers,Deep,Medium,No,Yes,لو شفت حد غريب بيعاكسني، هتعمل إيه؟
"If I suddenly got famous, what would it be for?","Family, Friends, Lovers",Know me,Light,No,Yes,لو بقيت مشهور فجأة، تفتكر هيكون بسبب إيه؟
What's the first thing you noticed about my body language?,"First Date, Friends, Lovers",Honest,Medium,No,Yes,إيه أول حاجة لفتت نظرك في لغة جسدي؟
"If you could go to jail for something that I did so that I would be able to keep living my life, would you?",Lovers,Deep,Bold,No,Yes,لو ممكن تدخل السجن مكاني عشان أنا أكمل حياتي، هتعمل كده؟
My favorite part of your personality is…,"Friends, Lovers",Deep,Medium,No,Yes,أكتر حاجة بحبها في شخصيتك هي...
What's the most attractive thing I've ever done by accident?,"Friends, Lovers",Deep,Medium,No,Yes,إيه أكتر حركة جذابة عملتها من غير ما أقصد؟
"If you could stop my face and body from aging, would you— or would you rather watch me grow old with you?",Lovers,Deep,Bold,No,Yes,لو بإيدك توقف زمني وتخليني ماكبرش، ولا تفضل إننا نكبر ونعجز سوا؟
"If you had the power to read my mind, would you use it without my permission?","Friends, Lovers",Awkward,Bold,No,Yes,لو عندك قدرة تقرا أفكاري، هتستعملها من غير إذني؟
Being loved by you feels like…,Lovers,Deep,Bold,No,Yes,محبتك ليا بحسها زي...
"If your favorite celebrity confessed her love for you, would you dump me to date her?",Lovers,What If...,Medium,No,Yes,لو الفنانة المفضلة ليك اعترفتلك بحبها، هتسيبني عشانها؟
"If you develop superpowers and were sworn to keep them a secret to keep me safe, would you tell me anyways?","Friends, Lovers",What If...,Medium,No,Yes,لو جالك قوى خارقة وحلفت إنك تخبيها عشان تحميني، هتقولي برضو؟
My favorite memory of us still is…,Lovers,Deep,Bold,No,Yes,أحلى ذكرى لينا لسه معلقة معايا هي...
What's a non-negotiable in your life?,"First Date, Friends, Lovers",Honest,Medium,No,Yes,إيه الحاجة اللي مفيش فيها نقاش في حياتك؟
"What do your friends know about me, if anything?",Lovers,Honest,Medium,No,Yes,صحابك يعرفوا إيه عني؟
"If you had to describe the way I love in one sentence, what would it be?",,Deep,Bold,No,Yes,لو هتوصف طريقتي في الحب بجملة، هتقول إيه؟
What was the first thing you found yourself overthinking about us?,"Friends, Lovers",Deep,Bold,No,Yes,إيه أول حاجة شغلت تفكيرك بزيادة بخصوص علاقتنا؟
What was the first thing you noticed about me when we met in person?,"First Date, Friends, Lovers",Honest,Light,No,Yes,إيه أول حاجة لاحظتها فيا لما اتقابلنا وش لوش؟
"If every human came with a warning label, what would yours say?","First Date, First Time Meeting, Friends",Funny,Light,Yes,Yes,لو كل بني آدم عليه تيكيت تحذير، بتاعك هيكون مكتوب عليه إيه؟
Do you believe it is better to love or be loved?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,تفتكر الأحسن إنك تحب ولا تتحب؟
When's the last time you ghosted someone and why?,"Friends, Lovers",Honest,Bold,No,No,إمتى آخر مرة خلعت من حد (ghosting) وليه؟
What is the easiest way to break your trust?,"Friends, Lovers",Honest,Bold,No,Yes,إيه أسرع طريقة تخليني أفقد الثقة فيك؟
What's one thing you know about me now that you wish you knew the first day we met?,"Friends, Lovers",Deep,Medium,No,Yes,إيه الحاجة اللي عرفتها عني دلوقتي وكان نفسك تعرفها من أول يوم؟
"What's something I do that worries you, because you care about me?","Family, Friends, Lovers",Deep,Bold,No,Yes,إيه الحاجة اللي بعملها وبتقلقك عليا عشان بتهتم بيا؟
Is it harder to forgive ourselves or to forgive those who hurt us?,"First Date, Friends, Lovers",Deep,Medium,No,Yes,تفتكر أصعب نسامح نفسنا ولا نسامح اللي وجعونا؟
What's the most supportive thing I've done for you that you'll never forget?,"Family, Friends, Lovers",Deep,Medium,No,Yes,إيه أكتر موقف جدعنة عملته معاك وعمرك ما هتنساه؟
"What feels more intense, falling in love or falling out of love?","First Date, Friends, Lovers",Deep,Medium,No,Yes,إيه إحساسه أقوى، لما تقع في الحب ولا لما الحب يروح؟
"If you could grant us one wish for our future together, what would it be?","Friends, Lovers",Deep,Medium,No,Yes,لو ليك أمنية واحدة لمستقبلنا سوا، هتكون إيه؟
